"citation.ID","n_potential_records","n_variables","variables_represented","sites_represented","n_pot_dup_sites","forestGEO_sites","GROA_study","tropical","prioritized_variable","review_priority_score","ready_to_rerun_and_send","notes"
"Lee_2003_srfr",8,1,"BNPP_root_fine",2,0,0,0,8,0,16,NA,NA
"Swamy_2010_fadm",8,1,"ANPP_woody_stem",4,0,0,0,8,0,16,NA,NA
"Zribi_2015_wafs",6,3,"biomass_ag, biomass_root, soil",1,0,0,0,6,4,16,NA,""
"Aththorick_2012_vssa",5,1,"biomass_ag",1,0,0,0,5,5,15,NA,""
"Cater_2011_srra",10,2,"biomass_root, soil",5,0,0,0,0,5,15,NA,""
"Fortier_2013_rbas",6,1,"biomass_root",3,0,0,6,0,6,15,NA,""
"Hytonen_2015_bpoc",6,1,"biomass_ag",2,0,0,6,0,6,15,NA,""
"Le Goaster_1991_cenm",9,3,"biomass_ag, biomass_root, biomass",1,0,0,0,0,6,15,NA,""
"Saner_2012_csaf",6,4,"biomass_ag, biomass_root_fine, biomass_root, biomass_root_coarse",1,0,0,0,6,3,15,NA,""
"Sawamoto_2003_cine",10,2,"biomass_ag, soil",5,0,0,0,0,5,15,NA,""
"Schulze_1967_srot",5,1,"biomass_root",2,0,0,0,5,5,15,NA,""
"Simmons_1996_ffcp",15,1,"R_het_litter",15,0,0,0,0,0,15,NA,""
"Bader_2009_frro",14,2,"biomass_root_fine, BNPP_root_fine",1,0,0,0,0,0,14,NA,""
"Brearley_2011_bssi",4,1,"biomass_root",1,0,0,4,4,4,14,NA,""
"d'Oliveira_2011_fnra",4,1,"biomass_ag",1,0,0,4,4,4,14,NA,""
"Hernandez-Stefanoni_2011_iols",4,1,"biomass_ag",1,0,0,4,4,4,14,NA,""
"Ibrahim_2006_adce",4,1,"biomass_ag",1,0,0,4,4,4,14,NA,""
"Litton_2008_anig",6,3,"biomass_root, biomass_root_coarse, biomass_root_fine",1,0,0,0,6,2,14,NA,""
"Rai_1986_esof",7,2,"ANPP_litterfall_1, ANPP_woody_stem",4,0,0,0,7,0,14,NA,NA
"Ryan_1992_mras",10,5,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root",2,0,0,0,0,4,14,NA,""
"Thenkabail_2004_hiaa",4,1,"biomass_ag",1,0,0,4,4,4,14,NA,""
"Zu_2009_scec",14,3,"R_het_litter, biomass_root_coarse, biomass_root_fine",1,0,0,0,0,0,14,NA,""
"Cao_2012_poca",6,3,"biomass_ag, biomass_root, biomass_ag_understory",1,0,0,6,0,4,13,NA,""
"Klinge_1975_basi",10,9,"biomass_ag, total.ecosystem_2, ANPP_woody_stem, biomass_ag_foliage, biomass_ag_woody, biomass_root_fine, biomass_root_coarse, biomass_root, biomass",3,1,0,0,10,3,13,NA,""
"Liu_2014_htpa",29,3,"biomass_ag, biomass, biomass_root",10,5,0,0,14,20,13,NA,""
"Brown_2014_sraa",4,1,"biomass_root",4,0,0,0,4,4,12,NA,""
