C.pool,n_data_submitted,EFDB_entry_form,dates_sent_yyyymmdd,Full.Technical.Reference,n_in_EFDB,notes,excluded
Below-ground biomass [BGB] (BGB),20,n_60_Sharma_2010_tdac,20211108,"Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014",,,
Classified otherwise (OTH),20,n_60_Sharma_2010_tdac,20211108,"Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014",,,
Above-ground biomass [AGB] (AGB),18,n_60_Swamy_2004_tgba,20211108,"Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",,,
Below-ground biomass [BGB] (BGB),18,n_60_Swamy_2004_tgba,20211108,"Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",,,
Classified otherwise (OTH),24,n_60_Swamy_2004_tgba,20211108,"Swamy, S. L., Kushwaha, S. K., & Puri, S. (2004). Tree growth, biomass, allometry and nutrient distribution in Gmelina arborea stands grown in red lateritic soils of Central India. Biomass and Bioenergy, 26(4), 305-317. doi:10.1016/j.biombioe.2003.08.007",,,
Above-ground biomass [AGB] (AGB),5,n_26_Uhl_1984_sand_CORRECTED_2,20220127,"Uhl, C., & Jordan, C. F. (1984). Succession and Nutrient Dynamics Following Forest Cutting and Burning in Amazonia. Ecology, 65(5), 1476-1490. doi:10.2307/1939128",,,
Classified otherwise (OTH),21,n_26_Uhl_1984_sand_CORRECTED_2,20220127,"Uhl, C., & Jordan, C. F. (1984). Succession and Nutrient Dynamics Following Forest Cutting and Burning in Amazonia. Ecology, 65(5), 1476-1490. doi:10.2307/1939128",,,
Classified otherwise (OTH),6,n_6_Wirth_2002_fast_CORRECTED,20220127,"Wirth, C., Schulze, E.-D., Luhker, B., Grigoriev, S., Siry, M., Hardes, G., ... Vygodskaya, N. N. (2002). Plant and Soil, 242(1), 41-63. doi:10.1023/a:1020813505203",,,
Classified otherwise (OTH),1,n_1_Lutz_2021_ltsa,20220608,"Lutz, J.A., Struckman, S., Furniss, T.J. et al. Large-diameter trees, snags, and deadwood in southern Utah, USA. Ecol Process 10, 9 (2021). https://doi.org/10.1186/s13717-020-00275-0",,,
Above-ground biomass [AGB] (AGB),2,n_12_Thuille_2000_csas,20220608,"Thuille, A., Buchmann, N., & Schulze, E.-D. (2000). Carbon stocks and soil respiration rates during deforestation, grassland use and subsequent Norway spruce afforestation in the Southern Alps, Italy. Tree Physiology, 20(13), 849-857. doi:10.1093/treephys/20.13.849",,,
